"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alabama!!Percent","Alabama!!Percent Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Alaska!!Percent","Alaska!!Percent Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arizona!!Percent","Arizona!!Percent Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","Arkansas!!Percent","Arkansas!!Percent Margin of Error","California!!Estimate","California!!Margin of Error","California!!Percent","California!!Percent Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Colorado!!Percent","Colorado!!Percent Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Connecticut!!Percent","Connecticut!!Percent Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","Delaware!!Percent","Delaware!!Percent Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","District of Columbia!!Percent","District of Columbia!!Percent Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Florida!!Percent","Florida!!Percent Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Georgia!!Percent","Georgia!!Percent Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Hawaii!!Percent","Hawaii!!Percent Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Idaho!!Percent","Idaho!!Percent Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Illinois!!Percent","Illinois!!Percent Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Indiana!!Percent","Indiana!!Percent Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Iowa!!Percent","Iowa!!Percent Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kansas!!Percent","Kansas!!Percent Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Kentucky!!Percent","Kentucky!!Percent Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Louisiana!!Percent","Louisiana!!Percent Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maine!!Percent","Maine!!Percent Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Maryland!!Percent","Maryland!!Percent Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Michigan!!Percent","Michigan!!Percent Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Minnesota!!Percent","Minnesota!!Percent Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Mississippi!!Percent","Mississippi!!Percent Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Missouri!!Percent","Missouri!!Percent Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Montana!!Percent","Montana!!Percent Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nebraska!!Percent","Nebraska!!Percent Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","Nevada!!Percent","Nevada!!Percent Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Hampshire!!Percent","New Hampshire!!Percent Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Jersey!!Percent","New Jersey!!Percent Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New Mexico!!Percent","New Mexico!!Percent Margin of Error","New York!!Estimate","New York!!Margin of Error","New York!!Percent","New York!!Percent Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Carolina!!Percent","North Carolina!!Percent Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","North Dakota!!Percent","North Dakota!!Percent Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Ohio!!Percent","Ohio!!Percent Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oklahoma!!Percent","Oklahoma!!Percent Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Oregon!!Percent","Oregon!!Percent Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Pennsylvania!!Percent","Pennsylvania!!Percent Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","Rhode Island!!Percent","Rhode Island!!Percent Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Carolina!!Percent","South Carolina!!Percent Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","South Dakota!!Percent","South Dakota!!Percent Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Tennessee!!Percent","Tennessee!!Percent Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Utah!!Percent","Utah!!Percent Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Vermont!!Percent","Vermont!!Percent Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Virginia!!Percent","Virginia!!Percent Margin of Error","Washington!!Estimate","Washington!!Margin of Error","Washington!!Percent","Washington!!Percent Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","West Virginia!!Percent","West Virginia!!Percent Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wisconsin!!Percent","Wisconsin!!Percent Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Wyoming!!Percent","Wyoming!!Percent Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error","Puerto Rico!!Percent","Puerto Rico!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","2,284,922","±264","2,284,922","(X)","319,867","±200","319,867","(X)","3,076,048","±708","3,076,048","(X)","1,389,159","±337","1,389,159","(X)","14,367,012","±1,286","14,367,012","(X)","2,464,109","±480","2,464,109","(X)","1,524,959","±235","1,524,959","(X)","443,764","±148","443,764","(X)","322,814","±133","322,814","(X)","9,674,053","±581","9,674,053","(X)","4,378,350","±673","4,378,350","(X)","550,328","±252","550,328","(X)","751,113","±140","751,113","(X)","5,388,210","±605","5,388,210","(X)","2,921,115","±396","2,921,115","(X)","1,418,600","±409","1,418,600","(X)","1,288,430","±623","1,288,430","(X)","2,006,335","±404","2,006,335","(X)","2,089,824","±281","2,089,824","(X)","750,964","±155","750,964","(X)","2,470,307","±296","2,470,307","(X)","2,928,818","±274","2,928,818","(X)","4,629,605","±439","4,629,605","(X)","2,477,515","±576","2,477,515","(X)","1,339,047","±222","1,339,047","(X)","2,819,334","±685","2,819,334","(X)","519,938","±159","519,938","(X)","851,167","±429","851,167","(X)","1,285,681","±221","1,285,681","(X)","642,298","±131","642,298","(X)","3,641,854","±1,185","3,641,854","(X)","948,470","±212","948,470","(X)","8,404,205","±839","8,404,205","(X)","4,748,148","±509","4,748,148","(X)","379,974","±499","379,974","(X)","5,232,943","±588","5,232,943","(X)","1,749,520","±257","1,749,520","(X)","1,808,482","±203","1,808,482","(X)","5,732,580","±1,066","5,732,580","(X)","470,177","±67","470,177","(X)","2,351,364","±246","2,351,364","(X)","401,749","±456","401,749","(X)","3,028,437","±636","3,028,437","(X)","11,283,892","±954","11,283,892","(X)","1,133,543","±191","1,133,543","(X)","339,412","±128","339,412","(X)","3,562,258","±463","3,562,258","(X)","3,195,098","±641","3,195,098","(X)","894,983","±173","894,983","(X)","2,725,153","±756","2,725,153","(X)","280,281","±97","280,281","(X)","1,559,505","±7,241","1,559,505","(X)"
"        Occupied housing units","1,897,576","±10,370","83.0%","±0.5","252,199","±3,658","78.8%","±1.1","2,670,441","±12,014","86.8%","±0.4","1,163,647","±8,530","83.8%","±0.6","13,157,873","±23,844","91.6%","±0.2","2,235,103","±10,026","90.7%","±0.4","1,377,166","±6,712","90.3%","±0.4","376,239","±3,536","84.8%","±0.8","291,570","±3,959","90.3%","±1.2","7,905,832","±23,042","81.7%","±0.2","3,852,714","±14,425","88.0%","±0.3","465,299","±5,012","84.5%","±0.9","655,859","±5,316","87.3%","±0.7","4,866,006","±12,627","90.3%","±0.2","2,597,765","±12,716","88.9%","±0.4","1,287,221","±6,606","90.7%","±0.5","1,138,329","±6,595","88.4%","±0.5","1,748,732","±8,789","87.2%","±0.4","1,741,076","±11,011","83.3%","±0.5","573,618","±4,999","76.4%","±0.7","2,226,767","±9,709","90.1%","±0.4","2,650,680","±9,065","90.5%","±0.3","3,969,880","±12,901","85.7%","±0.3","2,222,568","±7,740","89.7%","±0.3","1,100,229","±9,887","82.2%","±0.7","2,458,337","±10,406","87.2%","±0.4","437,651","±4,637","84.2%","±0.9","771,444","±4,475","90.6%","±0.5","1,143,557","±8,281","88.9%","±0.6","541,396","±5,389","84.3%","±0.8","3,286,264","±9,466","90.2%","±0.3","793,420","±7,074","83.7%","±0.7","7,446,812","±13,820","88.6%","±0.2","4,046,348","±15,467","85.2%","±0.3","323,519","±3,879","85.1%","±1.0","4,730,340","±12,955","90.4%","±0.3","1,495,151","±7,032","85.5%","±0.4","1,649,352","±8,550","91.2%","±0.5","5,119,249","±11,502","89.3%","±0.2","407,174","±4,739","86.6%","±1.0","1,975,915","±11,292","84.0%","±0.5","353,799","±3,905","88.1%","±1.0","2,654,737","±12,964","87.7%","±0.4","9,985,126","±25,440","88.5%","±0.2","1,023,855","±5,773","90.3%","±0.5","262,767","±3,459","77.4%","±1.0","3,191,847","±12,998","89.6%","±0.4","2,932,477","±11,062","91.8%","±0.3","728,175","±7,273","81.4%","±0.8","2,386,623","±7,340","87.6%","±0.3","233,128","±3,322","83.2%","±1.2","1,170,982","±9,101","75.1%","±0.5"
"        Vacant housing units","387,346","±10,383","17.0%","±0.5","67,668","±3,669","21.2%","±1.1","405,607","±11,994","13.2%","±0.4","225,512","±8,598","16.2%","±0.6","1,209,139","±24,297","8.4%","±0.2","229,006","±10,050","9.3%","±0.4","147,793","±6,743","9.7%","±0.4","67,525","±3,546","15.2%","±0.8","31,244","±4,011","9.7%","±1.2","1,768,221","±23,034","18.3%","±0.2","525,636","±14,256","12.0%","±0.3","85,029","±5,059","15.5%","±0.9","95,254","±5,292","12.7%","±0.7","522,204","±12,852","9.7%","±0.2","323,350","±12,850","11.1%","±0.4","131,379","±6,831","9.3%","±0.5","150,101","±6,814","11.6%","±0.5","257,603","±8,794","12.8%","±0.4","348,748","±11,038","16.7%","±0.5","177,346","±5,031","23.6%","±0.7","243,540","±9,685","9.9%","±0.4","278,138","±9,135","9.5%","±0.3","659,725","±13,028","14.3%","±0.3","254,947","±7,884","10.3%","±0.3","238,818","±9,897","17.8%","±0.7","360,997","±10,473","12.8%","±0.4","82,287","±4,659","15.8%","±0.9","79,723","±4,544","9.4%","±0.5","142,124","±8,259","11.1%","±0.6","100,902","±5,393","15.7%","±0.8","355,590","±9,612","9.8%","±0.3","155,050","±7,047","16.3%","±0.7","957,393","±14,024","11.4%","±0.2","701,800","±15,681","14.8%","±0.3","56,455","±3,909","14.9%","±1.0","502,603","±13,164","9.6%","±0.3","254,369","±7,048","14.5%","±0.4","159,130","±8,522","8.8%","±0.5","613,331","±11,559","10.7%","±0.2","63,003","±4,754","13.4%","±1.0","375,449","±11,361","16.0%","±0.5","47,950","±3,980","11.9%","±1.0","373,700","±13,132","12.3%","±0.4","1,298,766","±25,690","11.5%","±0.2","109,688","±5,798","9.7%","±0.5","76,645","±3,458","22.6%","±1.0","370,411","±13,050","10.4%","±0.4","262,621","±11,194","8.2%","±0.3","166,808","±7,319","18.6%","±0.8","338,530","±7,477","12.4%","±0.3","47,153","±3,344","16.8%","±1.2","388,523","±8,985","24.9%","±0.5"
"        Homeowner vacancy rate","1.4","±0.2","(X)","(X)","1.7","±0.7","(X)","(X)","1.5","±0.2","(X)","(X)","1.9","±0.3","(X)","(X)","1.2","±0.1","(X)","(X)","1.0","±0.2","(X)","(X)","1.5","±0.2","(X)","(X)","1.8","±0.5","(X)","(X)","1.9","±0.7","(X)","(X)","2.3","±0.2","(X)","(X)","1.9","±0.2","(X)","(X)","1.4","±0.5","(X)","(X)","1.3","±0.4","(X)","(X)","1.7","±0.1","(X)","(X)","1.3","±0.2","(X)","(X)","1.4","±0.2","(X)","(X)","1.8","±0.3","(X)","(X)","1.6","±0.2","(X)","(X)","1.9","±0.3","(X)","(X)","1.6","±0.4","(X)","(X)","1.4","±0.2","(X)","(X)","1.1","±0.2","(X)","(X)","1.4","±0.1","(X)","(X)","0.8","±0.1","(X)","(X)","2.2","±0.3","(X)","(X)","1.4","±0.2","(X)","(X)","1.6","±0.4","(X)","(X)","0.7","±0.2","(X)","(X)","1.6","±0.3","(X)","(X)","0.8","±0.3","(X)","(X)","1.4","±0.2","(X)","(X)","1.9","±0.4","(X)","(X)","1.6","±0.1","(X)","(X)","1.6","±0.2","(X)","(X)","2.6","±0.8","(X)","(X)","1.2","±0.1","(X)","(X)","1.9","±0.2","(X)","(X)","1.3","±0.2","(X)","(X)","1.5","±0.1","(X)","(X)","1.2","±0.5","(X)","(X)","1.9","±0.3","(X)","(X)","1.1","±0.4","(X)","(X)","1.3","±0.2","(X)","(X)","1.5","±0.1","(X)","(X)","0.8","±0.2","(X)","(X)","1.6","±0.4","(X)","(X)","1.3","±0.2","(X)","(X)","1.1","±0.2","(X)","(X)","1.9","±0.3","(X)","(X)","1.1","±0.1","(X)","(X)","1.4","±0.5","(X)","(X)","2.7","±0.3","(X)","(X)"
"        Rental vacancy rate","9.7","±0.7","(X)","(X)","9.2","±1.8","(X)","(X)","5.3","±0.5","(X)","(X)","7.4","±0.8","(X)","(X)","4.1","±0.1","(X)","(X)","4.6","±0.5","(X)","(X)","6.4","±0.7","(X)","(X)","6.6","±1.5","(X)","(X)","7.0","±1.2","(X)","(X)","8.7","±0.4","(X)","(X)","7.3","±0.4","(X)","(X)","8.8","±1.2","(X)","(X)","4.0","±1.0","(X)","(X)","5.7","±0.4","(X)","(X)","6.9","±0.6","(X)","(X)","6.2","±0.7","(X)","(X)","7.8","±0.8","(X)","(X)","6.4","±0.6","(X)","(X)","8.3","±0.7","(X)","(X)","5.0","±1.0","(X)","(X)","6.3","±0.6","(X)","(X)","3.1","±0.4","(X)","(X)","5.6","±0.4","(X)","(X)","4.8","±0.6","(X)","(X)","10.7","±1.0","(X)","(X)","5.1","±0.5","(X)","(X)","7.1","±1.1","(X)","(X)","5.9","±0.8","(X)","(X)","7.6","±0.7","(X)","(X)","4.5","±0.9","(X)","(X)","4.2","±0.3","(X)","(X)","8.1","±1.1","(X)","(X)","4.0","±0.2","(X)","(X)","6.6","±0.4","(X)","(X)","8.0","±1.5","(X)","(X)","4.7","±0.4","(X)","(X)","8.0","±0.6","(X)","(X)","4.0","±0.6","(X)","(X)","4.9","±0.3","(X)","(X)","7.0","±1.6","(X)","(X)","9.1","±0.7","(X)","(X)","6.9","±1.4","(X)","(X)","7.3","±0.5","(X)","(X)","8.1","±0.3","(X)","(X)","7.5","±1.0","(X)","(X)","4.5","±1.4","(X)","(X)","5.5","±0.5","(X)","(X)","4.3","±0.4","(X)","(X)","7.2","±1.1","(X)","(X)","4.9","±0.5","(X)","(X)","12.9","±2.0","(X)","(X)","6.6","±0.7","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","2,284,922","±264","2,284,922","(X)","319,867","±200","319,867","(X)","3,076,048","±708","3,076,048","(X)","1,389,159","±337","1,389,159","(X)","14,367,012","±1,286","14,367,012","(X)","2,464,109","±480","2,464,109","(X)","1,524,959","±235","1,524,959","(X)","443,764","±148","443,764","(X)","322,814","±133","322,814","(X)","9,674,053","±581","9,674,053","(X)","4,378,350","±673","4,378,350","(X)","550,328","±252","550,328","(X)","751,113","±140","751,113","(X)","5,388,210","±605","5,388,210","(X)","2,921,115","±396","2,921,115","(X)","1,418,600","±409","1,418,600","(X)","1,288,430","±623","1,288,430","(X)","2,006,335","±404","2,006,335","(X)","2,089,824","±281","2,089,824","(X)","750,964","±155","750,964","(X)","2,470,307","±296","2,470,307","(X)","2,928,818","±274","2,928,818","(X)","4,629,605","±439","4,629,605","(X)","2,477,515","±576","2,477,515","(X)","1,339,047","±222","1,339,047","(X)","2,819,334","±685","2,819,334","(X)","519,938","±159","519,938","(X)","851,167","±429","851,167","(X)","1,285,681","±221","1,285,681","(X)","642,298","±131","642,298","(X)","3,641,854","±1,185","3,641,854","(X)","948,470","±212","948,470","(X)","8,404,205","±839","8,404,205","(X)","4,748,148","±509","4,748,148","(X)","379,974","±499","379,974","(X)","5,232,943","±588","5,232,943","(X)","1,749,520","±257","1,749,520","(X)","1,808,482","±203","1,808,482","(X)","5,732,580","±1,066","5,732,580","(X)","470,177","±67","470,177","(X)","2,351,364","±246","2,351,364","(X)","401,749","±456","401,749","(X)","3,028,437","±636","3,028,437","(X)","11,283,892","±954","11,283,892","(X)","1,133,543","±191","1,133,543","(X)","339,412","±128","339,412","(X)","3,562,258","±463","3,562,258","(X)","3,195,098","±641","3,195,098","(X)","894,983","±173","894,983","(X)","2,725,153","±756","2,725,153","(X)","280,281","±97","280,281","(X)","1,559,505","±7,241","1,559,505","(X)"
"        1-unit, detached","1,557,624","±12,570","68.2%","±0.6","200,974","±3,843","62.8%","±1.2","1,947,693","±13,431","63.3%","±0.4","968,020","±8,537","69.7%","±0.6","8,206,562","±27,724","57.1%","±0.2","1,537,618","±13,609","62.4%","±0.6","889,358","±10,227","58.3%","±0.7","262,349","±4,592","59.1%","±1.0","37,010","±2,285","11.5%","±0.7","5,241,393","±24,553","54.2%","±0.3","2,888,722","±20,123","66.0%","±0.5","292,193","±4,718","53.1%","±0.9","547,391","±4,943","72.9%","±0.7","3,149,162","±14,087","58.4%","±0.3","2,136,742","±13,108","73.1%","±0.5","1,024,256","±7,838","72.2%","±0.6","927,854","±7,438","72.0%","±0.6","1,347,772","±11,692","67.2%","±0.6","1,368,361","±13,213","65.5%","±0.6","528,983","±6,331","70.4%","±0.8","1,265,441","±10,470","51.2%","±0.4","1,517,155","±10,404","51.8%","±0.4","3,322,812","±12,428","71.8%","±0.3","1,652,155","±9,361","66.7%","±0.4","920,763","±10,936","68.8%","±0.8","1,980,150","±11,355","70.2%","±0.4","357,191","±5,405","68.7%","±1.0","618,058","±5,214","72.6%","±0.6","762,812","±8,048","59.3%","±0.6","400,650","±6,434","62.4%","±1.0","1,933,898","±14,800","53.1%","±0.4","613,704","±8,747","64.7%","±0.9","3,478,118","±18,084","41.4%","±0.2","3,093,122","±17,578","65.1%","±0.4","213,007","±4,163","56.1%","±1.1","3,588,535","±16,636","68.6%","±0.3","1,275,782","±7,830","72.9%","±0.4","1,141,051","±11,869","63.1%","±0.7","3,258,462","±15,608","56.8%","±0.3","253,203","±5,827","53.9%","±1.2","1,508,767","±11,514","64.2%","±0.5","269,904","±4,313","67.2%","±1.1","2,070,329","±14,792","68.4%","±0.5","7,286,943","±26,417","64.6%","±0.2","768,897","±7,669","67.8%","±0.7","225,306","±3,670","66.4%","±1.1","2,193,479","±13,511","61.6%","±0.4","1,984,984","±15,277","62.1%","±0.5","638,080","±8,442","71.3%","±0.9","1,805,692","±11,440","66.3%","±0.4","183,348","±4,063","65.4%","±1.5","1,078,971","±9,731","69.2%","±0.5"
"        1-unit, attached","39,749","±3,161","1.7%","±0.1","23,055","±2,163","7.2%","±0.7","146,661","±6,517","4.8%","±0.2","20,674","±2,489","1.5%","±0.2","982,710","±14,792","6.8%","±0.1","176,843","±6,965","7.2%","±0.3","83,539","±5,325","5.5%","±0.3","67,308","±3,896","15.2%","±0.9","77,927","±3,392","24.1%","±1.1","596,992","±12,950","6.2%","±0.1","182,565","±7,733","4.2%","±0.2","45,681","±3,469","8.3%","±0.6","24,711","±2,643","3.3%","±0.4","313,725","±8,997","5.8%","±0.2","111,048","±5,173","3.8%","±0.2","61,775","±3,371","4.4%","±0.2","62,357","±3,846","4.8%","±0.3","51,886","±3,682","2.6%","±0.2","52,709","±3,530","2.5%","±0.2","15,369","±1,927","2.0%","±0.3","517,506","±10,239","20.9%","±0.4","158,499","±6,429","5.4%","±0.2","214,550","±6,274","4.6%","±0.1","180,267","±5,947","7.3%","±0.2","14,605","±2,071","1.1%","±0.2","98,119","±4,292","3.5%","±0.2","19,803","±2,304","3.8%","±0.4","28,316","±1,888","3.3%","±0.2","54,563","±3,703","4.2%","±0.3","31,288","±2,889","4.9%","±0.4","354,386","±10,004","9.7%","±0.3","33,042","±3,154","3.5%","±0.3","428,146","±10,350","5.1%","±0.1","197,708","±7,024","4.2%","±0.1","20,466","±2,723","5.4%","±0.7","240,815","±7,348","4.6%","±0.1","35,807","±2,411","2.0%","±0.1","84,806","±4,732","4.7%","±0.3","1,051,317","±14,236","18.3%","±0.2","16,484","±2,249","3.5%","±0.5","72,514","±4,378","3.1%","±0.2","15,756","±1,866","3.9%","±0.5","105,410","±6,046","3.5%","±0.2","286,125","±8,280","2.5%","±0.1","73,640","±4,213","6.5%","±0.4","13,535","±1,303","4.0%","±0.4","380,210","±10,234","10.7%","±0.3","129,382","±5,875","4.0%","±0.2","18,937","±2,392","2.1%","±0.3","107,864","±4,788","4.0%","±0.2","15,253","±2,511","5.4%","±0.9","182,306","±6,064","11.7%","±0.4"
