"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alabama!!Percent","Alabama!!Percent Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Alaska!!Percent","Alaska!!Percent Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arizona!!Percent","Arizona!!Percent Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","Arkansas!!Percent","Arkansas!!Percent Margin of Error","California!!Estimate","California!!Margin of Error","California!!Percent","California!!Percent Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Colorado!!Percent","Colorado!!Percent Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Connecticut!!Percent","Connecticut!!Percent Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","Delaware!!Percent","Delaware!!Percent Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","District of Columbia!!Percent","District of Columbia!!Percent Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Florida!!Percent","Florida!!Percent Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Georgia!!Percent","Georgia!!Percent Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Hawaii!!Percent","Hawaii!!Percent Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Idaho!!Percent","Idaho!!Percent Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Illinois!!Percent","Illinois!!Percent Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Indiana!!Percent","Indiana!!Percent Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Iowa!!Percent","Iowa!!Percent Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kansas!!Percent","Kansas!!Percent Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Kentucky!!Percent","Kentucky!!Percent Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Louisiana!!Percent","Louisiana!!Percent Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maine!!Percent","Maine!!Percent Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Maryland!!Percent","Maryland!!Percent Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Michigan!!Percent","Michigan!!Percent Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Minnesota!!Percent","Minnesota!!Percent Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Mississippi!!Percent","Mississippi!!Percent Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Missouri!!Percent","Missouri!!Percent Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Montana!!Percent","Montana!!Percent Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nebraska!!Percent","Nebraska!!Percent Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","Nevada!!Percent","Nevada!!Percent Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Hampshire!!Percent","New Hampshire!!Percent Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Jersey!!Percent","New Jersey!!Percent Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New Mexico!!Percent","New Mexico!!Percent Margin of Error","New York!!Estimate","New York!!Margin of Error","New York!!Percent","New York!!Percent Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Carolina!!Percent","North Carolina!!Percent Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","North Dakota!!Percent","North Dakota!!Percent Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Ohio!!Percent","Ohio!!Percent Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oklahoma!!Percent","Oklahoma!!Percent Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Oregon!!Percent","Oregon!!Percent Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Pennsylvania!!Percent","Pennsylvania!!Percent Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","Rhode Island!!Percent","Rhode Island!!Percent Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Carolina!!Percent","South Carolina!!Percent Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","South Dakota!!Percent","South Dakota!!Percent Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Tennessee!!Percent","Tennessee!!Percent Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Utah!!Percent","Utah!!Percent Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Vermont!!Percent","Vermont!!Percent Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Virginia!!Percent","Virginia!!Percent Margin of Error","Washington!!Estimate","Washington!!Margin of Error","Washington!!Percent","Washington!!Percent Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","West Virginia!!Percent","West Virginia!!Percent Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wisconsin!!Percent","Wisconsin!!Percent Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Wyoming!!Percent","Wyoming!!Percent Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error","Puerto Rico!!Percent","Puerto Rico!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","2,258,669","±277","2,258,669","(X)","316,968","±147","316,968","(X)","2,999,185","±422","2,999,185","(X)","1,370,109","±231","1,370,109","(X)","14,177,270","±934","14,177,270","(X)","2,385,495","±329","2,385,495","(X)","1,517,495","±241","1,517,495","(X)","432,853","±146","432,853","(X)","314,843","±99","314,843","(X)","9,441,585","±581","9,441,585","(X)","4,282,254","±434","4,282,254","(X)","542,955","±132","542,955","(X)","721,818","±151","721,818","(X)","5,359,416","±1,065","5,359,416","(X)","2,885,342","±240","2,885,342","(X)","1,397,739","±885","1,397,739","(X)","1,273,776","±235","1,273,776","(X)","1,984,235","±283","1,984,235","(X)","2,061,582","±626","2,061,582","(X)","742,644","±180","742,644","(X)","2,449,123","±302","2,449,123","(X)","2,894,590","±311","2,894,590","(X)","4,595,274","±365","4,595,274","(X)","2,437,726","±470","2,437,726","(X)","1,323,754","±307","1,323,754","(X)","2,792,445","±620","2,792,445","(X)","510,408","±167","510,408","(X)","837,540","±161","837,540","(X)","1,249,733","±178","1,249,733","(X)","634,689","±120","634,689","(X)","3,615,891","±257","3,615,891","(X)","937,976","±183","937,976","(X)","8,327,621","±847","8,327,621","(X)","4,622,656","±769","4,622,656","(X)","374,591","±404","374,591","(X)","5,201,701","±535","5,201,701","(X)","1,734,074","±276","1,734,074","(X)","1,768,582","±504","1,768,582","(X)","5,694,402","±684","5,694,402","(X)","468,266","±90","468,266","(X)","2,284,820","±214","2,284,820","(X)","392,650","±202","392,650","(X)","2,958,799","±236","2,958,799","(X)","10,933,375","±871","10,933,375","(X)","1,084,685","±194","1,084,685","(X)","335,248","±106","335,248","(X)","3,512,917","±441","3,512,917","(X)","3,103,263","±359","3,103,263","(X)","892,240","±234","892,240","(X)","2,695,303","±794","2,695,303","(X)","276,733","±81","276,733","(X)","1,561,802","±7,656","1,561,802","(X)"
"        Occupied housing units","1,841,665","±12,421","81.5%","±0.5","250,741","±3,074","79.1%","±1.0","2,552,972","±11,005","85.1%","±0.4","1,153,082","±8,560","84.2%","±0.6","13,005,097","±17,539","91.7%","±0.1","2,139,207","±8,774","89.7%","±0.4","1,356,762","±6,513","89.4%","±0.4","357,937","±4,266","82.7%","±1.0","281,475","±3,302","89.4%","±1.1","7,689,964","±22,835","81.4%","±0.2","3,745,074","±16,431","87.5%","±0.4","458,078","±4,221","84.4%","±0.8","625,135","±5,980","86.6%","±0.8","4,808,672","±14,430","89.7%","±0.3","2,557,299","±10,669","88.6%","±0.4","1,257,505","±6,773","90.0%","±0.5","1,128,983","±6,821","88.6%","±0.5","1,725,034","±10,346","86.9%","±0.5","1,737,123","±11,255","84.3%","±0.5","540,959","±6,050","72.8%","±0.8","2,207,343","±8,135","90.1%","±0.3","2,604,954","±9,148","90.0%","±0.3","3,930,017","±12,926","85.5%","±0.3","2,162,211","±7,968","88.7%","±0.3","1,091,980","±9,693","82.5%","±0.7","2,385,135","±13,054","85.4%","±0.5","423,091","±4,068","82.9%","±0.8","754,490","±4,583","90.1%","±0.5","1,094,613","±6,821","87.6%","±0.5","528,700","±4,349","83.3%","±0.7","3,218,798","±8,951","89.0%","±0.2","767,705","±6,614","81.8%","±0.7","7,304,332","±18,884","87.7%","±0.2","3,955,069","±14,774","85.6%","±0.3","316,306","±3,300","84.4%","±0.9","4,667,192","±13,650","89.7%","±0.3","1,470,364","±5,913","84.8%","±0.3","1,603,635","±8,695","90.7%","±0.5","5,008,751","±12,653","88.0%","±0.2","408,748","±4,427","87.3%","±0.9","1,905,100","±10,277","83.4%","±0.4","344,260","±3,147","87.7%","±0.8","2,588,655","±10,916","87.5%","±0.4","9,623,874","±22,217","88.0%","±0.2","975,448","±5,045","89.9%","±0.5","256,629","±3,631","76.5%","±1.1","3,120,880","±13,665","88.8%","±0.4","2,840,377","±11,168","91.5%","±0.4","715,308","±7,000","80.2%","±0.8","2,350,293","±7,563","87.2%","±0.3","225,796","±3,968","81.6%","±1.4","1,191,305","±10,722","76.3%","±0.5"
"        Vacant housing units","417,004","±12,391","18.5%","±0.5","66,227","±3,071","20.9%","±1.0","446,213","±10,995","14.9%","±0.4","217,027","±8,534","15.8%","±0.6","1,172,173","±17,614","8.3%","±0.1","246,288","±8,762","10.3%","±0.4","160,733","±6,541","10.6%","±0.4","74,916","±4,260","17.3%","±1.0","33,368","±3,311","10.6%","±1.1","1,751,621","±22,933","18.6%","±0.2","537,180","±16,370","12.5%","±0.4","84,877","±4,235","15.6%","±0.8","96,683","±5,953","13.4%","±0.8","550,744","±14,515","10.3%","±0.3","328,043","±10,669","11.4%","±0.4","140,234","±7,128","10.0%","±0.5","144,793","±6,917","11.4%","±0.5","259,201","±10,428","13.1%","±0.5","324,459","±11,324","15.7%","±0.5","201,685","±6,079","27.2%","±0.8","241,780","±8,140","9.9%","±0.3","289,636","±9,285","10.0%","±0.3","665,257","±13,032","14.5%","±0.3","275,515","±8,109","11.3%","±0.3","231,774","±9,861","17.5%","±0.7","407,310","±12,767","14.6%","±0.5","87,317","±4,104","17.1%","±0.8","83,050","±4,582","9.9%","±0.5","155,120","±6,813","12.4%","±0.5","105,989","±4,378","16.7%","±0.7","397,093","±8,946","11.0%","±0.2","170,271","±6,641","18.2%","±0.7","1,023,289","±18,995","12.3%","±0.2","667,587","±14,800","14.4%","±0.3","58,285","±3,372","15.6%","±0.9","534,509","±13,869","10.3%","±0.3","263,710","±5,886","15.2%","±0.3","164,947","±8,737","9.3%","±0.5","685,651","±12,711","12.0%","±0.2","59,518","±4,436","12.7%","±0.9","379,720","±10,239","16.6%","±0.4","48,390","±3,175","12.3%","±0.8","370,144","±10,975","12.5%","±0.4","1,309,501","±22,246","12.0%","±0.2","109,237","±5,072","10.1%","±0.5","78,619","±3,642","23.5%","±1.1","392,037","±13,613","11.2%","±0.4","262,886","±11,226","8.5%","±0.4","176,932","±7,007","19.8%","±0.8","345,010","±7,800","12.8%","±0.3","50,937","±3,980","18.4%","±1.4","370,497","±8,349","23.7%","±0.5"
"    Homeowner vacancy rate","1.8","±0.2","(X)","(X)","1.7","±0.5","(X)","(X)","1.9","±0.2","(X)","(X)","1.9","±0.3","(X)","(X)","1.0","±0.1","(X)","(X)","1.0","±0.2","(X)","(X)","2.0","±0.3","(X)","(X)","2.6","±0.7","(X)","(X)","1.9","±0.7","(X)","(X)","2.1","±0.1","(X)","(X)","1.9","±0.2","(X)","(X)","1.3","±0.4","(X)","(X)","1.5","±0.4","(X)","(X)","1.9","±0.2","(X)","(X)","1.5","±0.2","(X)","(X)","1.6","±0.2","(X)","(X)","1.9","±0.3","(X)","(X)","1.6","±0.2","(X)","(X)","1.6","±0.3","(X)","(X)","1.9","±0.4","(X)","(X)","1.6","±0.2","(X)","(X)","1.1","±0.2","(X)","(X)","1.5","±0.1","(X)","(X)","1.0","±0.2","(X)","(X)","2.0","±0.3","(X)","(X)","1.9","±0.2","(X)","(X)","1.4","±0.3","(X)","(X)","1.1","±0.2","(X)","(X)","2.4","±0.4","(X)","(X)","1.4","±0.4","(X)","(X)","1.7","±0.2","(X)","(X)","2.0","±0.4","(X)","(X)","1.6","±0.1","(X)","(X)","1.7","±0.2","(X)","(X)","1.8","±0.5","(X)","(X)","1.4","±0.1","(X)","(X)","2.0","±0.2","(X)","(X)","1.2","±0.2","(X)","(X)","1.5","±0.1","(X)","(X)","1.7","±0.5","(X)","(X)","1.8","±0.3","(X)","(X)","1.0","±0.4","(X)","(X)","1.3","±0.2","(X)","(X)","1.7","±0.1","(X)","(X)","1.1","±0.2","(X)","(X)","1.4","±0.4","(X)","(X)","1.7","±0.2","(X)","(X)","0.9","±0.1","(X)","(X)","2.3","±0.4","(X)","(X)","1.3","±0.1","(X)","(X)","1.9","±0.6","(X)","(X)","3.6","±0.3","(X)","(X)"
"    Rental vacancy rate","11.0","±0.7","(X)","(X)","8.1","±1.4","(X)","(X)","6.0","±0.5","(X)","(X)","8.2","±0.9","(X)","(X)","3.5","±0.1","(X)","(X)","5.2","±0.5","(X)","(X)","7.0","±0.7","(X)","(X)","7.5","±1.4","(X)","(X)","5.7","±1.1","(X)","(X)","9.2","±0.3","(X)","(X)","6.7","±0.5","(X)","(X)","9.2","±1.1","(X)","(X)","6.2","±1.1","(X)","(X)","7.0","±0.4","(X)","(X)","7.1","±0.5","(X)","(X)","7.3","±0.8","(X)","(X)","7.5","±0.8","(X)","(X)","5.5","±0.6","(X)","(X)","8.7","±0.6","(X)","(X)","8.4","±1.4","(X)","(X)","5.9","±0.6","(X)","(X)","3.9","±0.4","(X)","(X)","4.9","±0.3","(X)","(X)","4.3","±0.5","(X)","(X)","10.7","±1.1","(X)","(X)","6.4","±0.5","(X)","(X)","6.1","±1.1","(X)","(X)","6.3","±0.8","(X)","(X)","6.9","±0.7","(X)","(X)","3.5","±0.9","(X)","(X)","4.5","±0.4","(X)","(X)","8.3","±0.9","(X)","(X)","4.2","±0.2","(X)","(X)","6.8","±0.4","(X)","(X)","12.5","±1.8","(X)","(X)","5.6","±0.3","(X)","(X)","8.6","±0.6","(X)","(X)","3.8","±0.5","(X)","(X)","5.8","±0.4","(X)","(X)","4.9","±0.9","(X)","(X)","9.0","±0.7","(X)","(X)","6.4","±1.3","(X)","(X)","6.7","±0.5","(X)","(X)","8.5","±0.3","(X)","(X)","6.2","±0.8","(X)","(X)","3.8","±1.3","(X)","(X)","6.4","±0.5","(X)","(X)","3.7","±0.4","(X)","(X)","8.2","±1.3","(X)","(X)","5.2","±0.5","(X)","(X)","16.1","±3.0","(X)","(X)","8.4","±0.8","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","2,258,669","±277","2,258,669","(X)","316,968","±147","316,968","(X)","2,999,185","±422","2,999,185","(X)","1,370,109","±231","1,370,109","(X)","14,177,270","±934","14,177,270","(X)","2,385,495","±329","2,385,495","(X)","1,517,495","±241","1,517,495","(X)","432,853","±146","432,853","(X)","314,843","±99","314,843","(X)","9,441,585","±581","9,441,585","(X)","4,282,254","±434","4,282,254","(X)","542,955","±132","542,955","(X)","721,818","±151","721,818","(X)","5,359,416","±1,065","5,359,416","(X)","2,885,342","±240","2,885,342","(X)","1,397,739","±885","1,397,739","(X)","1,273,776","±235","1,273,776","(X)","1,984,235","±283","1,984,235","(X)","2,061,582","±626","2,061,582","(X)","742,644","±180","742,644","(X)","2,449,123","±302","2,449,123","(X)","2,894,590","±311","2,894,590","(X)","4,595,274","±365","4,595,274","(X)","2,437,726","±470","2,437,726","(X)","1,323,754","±307","1,323,754","(X)","2,792,445","±620","2,792,445","(X)","510,408","±167","510,408","(X)","837,540","±161","837,540","(X)","1,249,733","±178","1,249,733","(X)","634,689","±120","634,689","(X)","3,615,891","±257","3,615,891","(X)","937,976","±183","937,976","(X)","8,327,621","±847","8,327,621","(X)","4,622,656","±769","4,622,656","(X)","374,591","±404","374,591","(X)","5,201,701","±535","5,201,701","(X)","1,734,074","±276","1,734,074","(X)","1,768,582","±504","1,768,582","(X)","5,694,402","±684","5,694,402","(X)","468,266","±90","468,266","(X)","2,284,820","±214","2,284,820","(X)","392,650","±202","392,650","(X)","2,958,799","±236","2,958,799","(X)","10,933,375","±871","10,933,375","(X)","1,084,685","±194","1,084,685","(X)","335,248","±106","335,248","(X)","3,512,917","±441","3,512,917","(X)","3,103,263","±359","3,103,263","(X)","892,240","±234","892,240","(X)","2,695,303","±794","2,695,303","(X)","276,733","±81","276,733","(X)","1,561,802","±7,656","1,561,802","(X)"
"        1-unit, detached","1,532,154","±11,445","67.8%","±0.5","198,319","±3,610","62.6%","±1.1","1,939,478","±11,776","64.7%","±0.4","957,559","±7,873","69.9%","±0.6","8,199,891","±25,673","57.8%","±0.2","1,506,014","±10,180","63.1%","±0.4","900,627","±7,775","59.3%","±0.5","252,594","±4,944","58.4%","±1.1","40,136","±2,836","12.7%","±0.9","5,139,425","±27,189","54.4%","±0.3","2,852,811","±17,286","66.6%","±0.4","285,067","±5,494","52.5%","±1.0","540,337","±5,679","74.9%","±0.8","3,162,927","±13,110","59.0%","±0.2","2,105,224","±10,688","73.0%","±0.4","1,031,465","±6,705","73.8%","±0.5","925,360","±7,379","72.6%","±0.6","1,332,478","±9,980","67.2%","±0.5","1,343,687","±10,856","65.2%","±0.5","524,137","±5,550","70.6%","±0.7","1,254,425","±10,380","51.2%","±0.4","1,507,556","±11,868","52.1%","±0.4","3,331,905","±11,230","72.5%","±0.2","1,637,581","±10,487","67.2%","±0.4","908,556","±10,088","68.6%","±0.8","1,970,003","±11,459","70.5%","±0.4","356,854","±5,088","69.9%","±1.0","607,791","±5,991","72.6%","±0.7","749,855","±7,231","60.0%","±0.6","407,329","±5,376","64.2%","±0.8","1,940,253","±11,623","53.7%","±0.3","598,406","±8,017","63.8%","±0.9","3,491,667","±15,367","41.9%","±0.2","3,027,389","±15,707","65.5%","±0.3","212,556","±4,068","56.7%","±1.1","3,560,925","±16,716","68.5%","±0.3","1,259,014","±6,771","72.6%","±0.4","1,132,814","±8,848","64.1%","±0.5","3,235,410","±14,427","56.8%","±0.3","258,438","±5,298","55.2%","±1.1","1,432,360","±12,796","62.7%","±0.6","264,196","±4,170","67.3%","±1.1","2,025,192","±12,328","68.4%","±0.4","7,105,341","±24,975","65.0%","±0.2","741,226","±6,392","68.3%","±0.6","219,954","±3,298","65.6%","±1.0","2,163,862","±11,920","61.6%","±0.3","1,961,610","±13,482","63.2%","±0.4","626,976","±7,241","70.3%","±0.8","1,789,760","±10,095","66.4%","±0.4","184,224","±3,411","66.6%","±1.2","1,069,670","±11,529","68.5%","±0.6"
"        1-unit, attached","32,870","±2,752","1.5%","±0.1","25,568","±2,381","8.1%","±0.8","146,269","±5,444","4.9%","±0.2","19,501","±2,261","1.4%","±0.2","1,010,379","±14,779","7.1%","±0.1","165,610","±5,193","6.9%","±0.2","83,131","±4,305","5.5%","±0.3","68,872","±3,611","15.9%","±0.8","76,638","±4,025","24.3%","±1.3","589,263","±13,115","6.2%","±0.1","169,083","±7,651","3.9%","±0.2","51,257","±3,186","9.4%","±0.6","19,243","±2,039","2.7%","±0.3","300,920","±7,312","5.6%","±0.1","110,107","±5,573","3.8%","±0.2","56,394","±3,684","4.0%","±0.3","60,761","±3,498","4.8%","±0.3","50,945","±3,584","2.6%","±0.2","56,985","±2,936","2.8%","±0.1","18,704","±1,934","2.5%","±0.3","527,114","±10,575","21.5%","±0.4","153,355","±6,382","5.3%","±0.2","204,451","±5,219","4.4%","±0.1","174,492","±5,202","7.2%","±0.2","12,867","±1,789","1.0%","±0.1","90,414","±4,812","3.2%","±0.2","18,208","±2,374","3.6%","±0.5","33,217","±2,634","4.0%","±0.3","56,602","±3,404","4.5%","±0.3","35,476","±2,637","5.6%","±0.4","345,917","±8,746","9.6%","±0.2","30,602","±2,541","3.3%","±0.3","425,973","±9,448","5.1%","±0.1","192,976","±7,099","4.2%","±0.2","21,063","±2,303","5.6%","±0.6","237,650","±7,411","4.6%","±0.1","34,380","±2,970","2.0%","±0.2","78,937","±4,603","4.5%","±0.3","1,067,841","±12,178","18.8%","±0.2","13,933","±1,817","3.0%","±0.4","64,893","±3,657","2.8%","±0.2","13,745","±1,511","3.5%","±0.4","84,502","±4,886","2.9%","±0.2","288,964","±8,137","2.6%","±0.1","67,480","±4,234","6.2%","±0.4","12,895","±1,674","3.8%","±0.5","385,902","±7,505","11.0%","±0.2","123,045","±5,833","4.0%","±0.2","19,857","±2,207","2.2%","±0.2","115,633","±4,964","4.3%","±0.2","11,780","±1,704","4.3%","±0.6","179,133","±6,594","11.5%","±0.4"
