"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alabama!!Percent","Alabama!!Percent Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Alaska!!Percent","Alaska!!Percent Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arizona!!Percent","Arizona!!Percent Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","Arkansas!!Percent","Arkansas!!Percent Margin of Error","California!!Estimate","California!!Margin of Error","California!!Percent","California!!Percent Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Colorado!!Percent","Colorado!!Percent Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Connecticut!!Percent","Connecticut!!Percent Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","Delaware!!Percent","Delaware!!Percent Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","District of Columbia!!Percent","District of Columbia!!Percent Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Florida!!Percent","Florida!!Percent Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Georgia!!Percent","Georgia!!Percent Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Hawaii!!Percent","Hawaii!!Percent Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Idaho!!Percent","Idaho!!Percent Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Illinois!!Percent","Illinois!!Percent Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Indiana!!Percent","Indiana!!Percent Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Iowa!!Percent","Iowa!!Percent Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kansas!!Percent","Kansas!!Percent Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Kentucky!!Percent","Kentucky!!Percent Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Louisiana!!Percent","Louisiana!!Percent Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maine!!Percent","Maine!!Percent Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Maryland!!Percent","Maryland!!Percent Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Michigan!!Percent","Michigan!!Percent Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Minnesota!!Percent","Minnesota!!Percent Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Mississippi!!Percent","Mississippi!!Percent Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Missouri!!Percent","Missouri!!Percent Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Montana!!Percent","Montana!!Percent Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nebraska!!Percent","Nebraska!!Percent Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","Nevada!!Percent","Nevada!!Percent Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Hampshire!!Percent","New Hampshire!!Percent Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Jersey!!Percent","New Jersey!!Percent Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New Mexico!!Percent","New Mexico!!Percent Margin of Error","New York!!Estimate","New York!!Margin of Error","New York!!Percent","New York!!Percent Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Carolina!!Percent","North Carolina!!Percent Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","North Dakota!!Percent","North Dakota!!Percent Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Ohio!!Percent","Ohio!!Percent Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oklahoma!!Percent","Oklahoma!!Percent Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Oregon!!Percent","Oregon!!Percent Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Pennsylvania!!Percent","Pennsylvania!!Percent Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","Rhode Island!!Percent","Rhode Island!!Percent Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Carolina!!Percent","South Carolina!!Percent Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","South Dakota!!Percent","South Dakota!!Percent Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Tennessee!!Percent","Tennessee!!Percent Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Utah!!Percent","Utah!!Percent Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Vermont!!Percent","Vermont!!Percent Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Virginia!!Percent","Virginia!!Percent Margin of Error","Washington!!Estimate","Washington!!Margin of Error","Washington!!Percent","Washington!!Percent Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","West Virginia!!Percent","West Virginia!!Percent Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wisconsin!!Percent","Wisconsin!!Percent Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Wyoming!!Percent","Wyoming!!Percent Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error","Puerto Rico!!Percent","Puerto Rico!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","2,274,711","±284","2,274,711","(X)","318,352","±199","318,352","(X)","3,035,902","±406","3,035,902","(X)","1,380,521","±196","1,380,521","(X)","14,277,867","±1,010","14,277,867","(X)","2,424,128","±610","2,424,128","(X)","1,521,123","±202","1,521,123","(X)","438,659","±190","438,659","(X)","319,579","±105","319,579","(X)","9,547,762","±598","9,547,762","(X)","4,326,266","±415","4,326,266","(X)","546,261","±103","546,261","(X)","735,703","±162","735,703","(X)","5,376,176","±518","5,376,176","(X)","2,903,576","±356","2,903,576","(X)","1,409,568","±354","1,409,568","(X)","1,280,553","±488","1,280,553","(X)","1,995,187","±228","1,995,187","(X)","2,076,136","±286","2,076,136","(X)","746,592","±148","746,592","(X)","2,458,779","±362","2,458,779","(X)","2,915,043","±327","2,915,043","(X)","4,614,552","±605","4,614,552","(X)","2,455,637","±870","2,455,637","(X)","1,332,631","±272","1,332,631","(X)","2,806,296","±623","2,806,296","(X)","515,161","±135","515,161","(X)","845,011","±170","845,011","(X)","1,268,717","±151","1,268,717","(X)","638,112","±117","638,112","(X)","3,628,198","±324","3,628,198","(X)","943,232","±180","943,232","(X)","8,363,847","±866","8,363,847","(X)","4,684,962","±408","4,684,962","(X)","377,661","±359","377,661","(X)","5,217,617","±708","5,217,617","(X)","1,743,073","±299","1,743,073","(X)","1,788,743","±218","1,788,743","(X)","5,713,136","±439","5,713,136","(X)","469,153","±84","469,153","(X)","2,318,291","±259","2,318,291","(X)","397,506","±284","397,506","(X)","2,992,412","±287","2,992,412","(X)","11,101,498","±754","11,101,498","(X)","1,108,739","±227","1,108,739","(X)","337,133","±144","337,133","(X)","3,538,985","±985","3,538,985","(X)","3,148,084","±526","3,148,084","(X)","893,742","±195","893,742","(X)","2,710,718","±598","2,710,718","(X)","278,615","±96","278,615","(X)","1,553,061","±8,459","1,553,061","(X)"
"        Occupied housing units","1,855,184","±11,821","81.6%","±0.5","254,551","±3,266","80.0%","±1.0","2,614,298","±11,305","86.1%","±0.4","1,156,347","±7,393","83.8%","±0.5","13,072,122","±21,485","91.6%","±0.2","2,176,757","±7,548","89.8%","±0.3","1,378,091","±6,923","90.6%","±0.5","367,671","±3,933","83.8%","±0.9","287,476","±2,752","90.0%","±0.9","7,809,358","±20,825","81.8%","±0.2","3,803,012","±14,400","87.9%","±0.3","455,309","±4,541","83.4%","±0.8","640,270","±5,214","87.0%","±0.7","4,864,864","±12,677","90.5%","±0.2","2,599,169","±10,447","89.5%","±0.4","1,267,873","±7,772","89.9%","±0.6","1,133,408","±7,193","88.5%","±0.6","1,732,713","±8,718","86.8%","±0.4","1,737,220","±10,627","83.7%","±0.5","570,307","±5,261","76.4%","±0.7","2,215,935","±9,432","90.1%","±0.4","2,624,294","±8,879","90.0%","±0.3","3,957,466","±12,369","85.8%","±0.3","2,194,452","±6,925","89.4%","±0.3","1,108,630","±9,460","83.2%","±0.7","2,434,806","±10,407","86.8%","±0.4","431,421","±4,444","83.7%","±0.9","765,490","±3,878","90.6%","±0.5","1,129,810","±6,479","89.1%","±0.5","531,212","±5,670","83.2%","±0.9","3,249,567","±9,867","89.6%","±0.3","794,093","±5,137","84.2%","±0.5","7,367,015","±16,617","88.1%","±0.2","4,011,462","±16,617","85.6%","±0.4","319,355","±4,442","84.6%","±1.2","4,685,447","±12,486","89.8%","±0.2","1,485,310","±6,108","85.2%","±0.3","1,639,970","±6,988","91.7%","±0.4","5,070,931","±12,151","88.8%","±0.2","406,573","±4,965","86.7%","±1.1","1,927,991","±12,233","83.2%","±0.5","345,449","±3,406","86.9%","±0.9","2,603,140","±11,640","87.0%","±0.4","9,776,083","±21,679","88.1%","±0.2","998,891","±5,079","90.1%","±0.5","261,373","±3,502","77.5%","±1.0","3,175,524","±13,138","89.7%","±0.4","2,895,575","±9,139","92.0%","±0.3","734,703","±6,052","82.2%","±0.7","2,371,960","±6,714","87.5%","±0.3","230,252","±3,746","82.6%","±1.3","1,179,637","±9,819","76.0%","±0.5"
"        Vacant housing units","419,527","±11,888","18.4%","±0.5","63,801","±3,277","20.0%","±1.0","421,604","±11,352","13.9%","±0.4","224,174","±7,372","16.2%","±0.5","1,205,745","±21,506","8.4%","±0.2","247,371","±7,600","10.2%","±0.3","143,032","±6,952","9.4%","±0.5","70,988","±3,939","16.2%","±0.9","32,103","±2,760","10.0%","±0.9","1,738,404","±20,844","18.2%","±0.2","523,254","±14,455","12.1%","±0.3","90,952","±4,539","16.6%","±0.8","95,433","±5,246","13.0%","±0.7","511,312","±12,754","9.5%","±0.2","304,407","±10,537","10.5%","±0.4","141,695","±7,908","10.1%","±0.6","147,145","±7,325","11.5%","±0.6","262,474","±8,646","13.2%","±0.4","338,916","±10,636","16.3%","±0.5","176,285","±5,297","23.6%","±0.7","242,844","±9,426","9.9%","±0.4","290,749","±8,945","10.0%","±0.3","657,086","±12,632","14.2%","±0.3","261,185","±7,021","10.6%","±0.3","224,001","±9,517","16.8%","±0.7","371,490","±10,483","13.2%","±0.4","83,740","±4,460","16.3%","±0.9","79,521","±3,939","9.4%","±0.5","138,907","±6,459","10.9%","±0.5","106,900","±5,696","16.8%","±0.9","378,631","±9,865","10.4%","±0.3","149,139","±5,150","15.8%","±0.5","996,832","±16,753","11.9%","±0.2","673,500","±16,495","14.4%","±0.4","58,306","±4,493","15.4%","±1.2","532,170","±12,786","10.2%","±0.2","257,763","±6,069","14.8%","±0.3","148,773","±6,957","8.3%","±0.4","642,205","±12,223","11.2%","±0.2","62,580","±4,966","13.3%","±1.1","390,300","±12,185","16.8%","±0.5","52,057","±3,475","13.1%","±0.9","389,272","±11,673","13.0%","±0.4","1,325,415","±21,781","11.9%","±0.2","109,848","±5,055","9.9%","±0.5","75,760","±3,527","22.5%","±1.0","363,461","±13,096","10.3%","±0.4","252,509","±9,144","8.0%","±0.3","159,039","±6,033","17.8%","±0.7","338,758","±6,934","12.5%","±0.3","48,363","±3,757","17.4%","±1.3","373,424","±8,581","24.0%","±0.5"
"        Homeowner vacancy rate","1.8","±0.2","(X)","(X)","2.1","±0.6","(X)","(X)","1.7","±0.2","(X)","(X)","2.1","±0.3","(X)","(X)","1.2","±0.1","(X)","(X)","1.0","±0.2","(X)","(X)","1.5","±0.2","(X)","(X)","1.2","±0.4","(X)","(X)","1.4","±0.6","(X)","(X)","2.1","±0.1","(X)","(X)","1.8","±0.2","(X)","(X)","1.7","±0.5","(X)","(X)","1.3","±0.4","(X)","(X)","1.8","±0.1","(X)","(X)","1.3","±0.2","(X)","(X)","1.4","±0.2","(X)","(X)","1.9","±0.3","(X)","(X)","1.5","±0.2","(X)","(X)","1.9","±0.2","(X)","(X)","1.6","±0.3","(X)","(X)","1.7","±0.2","(X)","(X)","0.9","±0.1","(X)","(X)","1.2","±0.1","(X)","(X)","0.7","±0.1","(X)","(X)","2.3","±0.3","(X)","(X)","1.7","±0.2","(X)","(X)","1.3","±0.4","(X)","(X)","1.1","±0.2","(X)","(X)","1.6","±0.3","(X)","(X)","1.1","±0.4","(X)","(X)","1.6","±0.2","(X)","(X)","2.0","±0.3","(X)","(X)","1.7","±0.1","(X)","(X)","1.6","±0.2","(X)","(X)","1.5","±0.5","(X)","(X)","1.2","±0.1","(X)","(X)","2.1","±0.2","(X)","(X)","1.3","±0.2","(X)","(X)","1.4","±0.1","(X)","(X)","1.8","±0.5","(X)","(X)","1.7","±0.2","(X)","(X)","1.6","±0.5","(X)","(X)","1.7","±0.2","(X)","(X)","1.6","±0.1","(X)","(X)","1.0","±0.2","(X)","(X)","1.6","±0.4","(X)","(X)","1.4","±0.2","(X)","(X)","0.9","±0.1","(X)","(X)","2.0","±0.3","(X)","(X)","0.9","±0.1","(X)","(X)","1.9","±0.5","(X)","(X)","2.7","±0.3","(X)","(X)"
"        Rental vacancy rate","10.1","±0.6","(X)","(X)","8.6","±1.8","(X)","(X)","5.7","±0.4","(X)","(X)","8.4","±0.8","(X)","(X)","4.0","±0.2","(X)","(X)","5.3","±0.5","(X)","(X)","5.8","±0.7","(X)","(X)","5.8","±1.3","(X)","(X)","6.8","±1.0","(X)","(X)","8.5","±0.3","(X)","(X)","7.2","±0.5","(X)","(X)","9.9","±1.1","(X)","(X)","5.3","±1.0","(X)","(X)","6.3","±0.4","(X)","(X)","6.6","±0.5","(X)","(X)","6.9","±0.8","(X)","(X)","7.9","±0.8","(X)","(X)","6.2","±0.7","(X)","(X)","8.7","±0.7","(X)","(X)","5.3","±1.1","(X)","(X)","6.6","±0.6","(X)","(X)","3.6","±0.4","(X)","(X)","4.8","±0.4","(X)","(X)","4.5","±0.6","(X)","(X)","10.5","±1.0","(X)","(X)","6.6","±0.5","(X)","(X)","7.4","±1.6","(X)","(X)","5.7","±0.7","(X)","(X)","8.7","±0.7","(X)","(X)","4.6","±0.9","(X)","(X)","4.4","±0.3","(X)","(X)","8.3","±1.0","(X)","(X)","4.2","±0.2","(X)","(X)","7.0","±0.4","(X)","(X)","10.8","±2.1","(X)","(X)","5.5","±0.3","(X)","(X)","8.5","±0.5","(X)","(X)","4.4","±0.5","(X)","(X)","5.3","±0.3","(X)","(X)","6.3","±1.0","(X)","(X)","10.0","±0.8","(X)","(X)","7.5","±1.6","(X)","(X)","7.6","±0.6","(X)","(X)","8.2","±0.3","(X)","(X)","6.2","±0.9","(X)","(X)","5.1","±1.3","(X)","(X)","5.2","±0.4","(X)","(X)","3.9","±0.4","(X)","(X)","6.8","±1.0","(X)","(X)","5.4","±0.4","(X)","(X)","12.2","±1.9","(X)","(X)","6.6","±0.6","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","2,274,711","±284","2,274,711","(X)","318,352","±199","318,352","(X)","3,035,902","±406","3,035,902","(X)","1,380,521","±196","1,380,521","(X)","14,277,867","±1,010","14,277,867","(X)","2,424,128","±610","2,424,128","(X)","1,521,123","±202","1,521,123","(X)","438,659","±190","438,659","(X)","319,579","±105","319,579","(X)","9,547,762","±598","9,547,762","(X)","4,326,266","±415","4,326,266","(X)","546,261","±103","546,261","(X)","735,703","±162","735,703","(X)","5,376,176","±518","5,376,176","(X)","2,903,576","±356","2,903,576","(X)","1,409,568","±354","1,409,568","(X)","1,280,553","±488","1,280,553","(X)","1,995,187","±228","1,995,187","(X)","2,076,136","±286","2,076,136","(X)","746,592","±148","746,592","(X)","2,458,779","±362","2,458,779","(X)","2,915,043","±327","2,915,043","(X)","4,614,552","±605","4,614,552","(X)","2,455,637","±870","2,455,637","(X)","1,332,631","±272","1,332,631","(X)","2,806,296","±623","2,806,296","(X)","515,161","±135","515,161","(X)","845,011","±170","845,011","(X)","1,268,717","±151","1,268,717","(X)","638,112","±117","638,112","(X)","3,628,198","±324","3,628,198","(X)","943,232","±180","943,232","(X)","8,363,847","±866","8,363,847","(X)","4,684,962","±408","4,684,962","(X)","377,661","±359","377,661","(X)","5,217,617","±708","5,217,617","(X)","1,743,073","±299","1,743,073","(X)","1,788,743","±218","1,788,743","(X)","5,713,136","±439","5,713,136","(X)","469,153","±84","469,153","(X)","2,318,291","±259","2,318,291","(X)","397,506","±284","397,506","(X)","2,992,412","±287","2,992,412","(X)","11,101,498","±754","11,101,498","(X)","1,108,739","±227","1,108,739","(X)","337,133","±144","337,133","(X)","3,538,985","±985","3,538,985","(X)","3,148,084","±526","3,148,084","(X)","893,742","±195","893,742","(X)","2,710,718","±598","2,710,718","(X)","278,615","±96","278,615","(X)","1,553,061","±8,459","1,553,061","(X)"
"        1-unit, detached","1,553,659","±11,951","68.3%","±0.5","200,691","±3,766","63.0%","±1.2","1,950,408","±12,632","64.2%","±0.4","965,493","±8,530","69.9%","±0.6","8,177,141","±25,555","57.3%","±0.2","1,493,822","±10,340","61.6%","±0.4","891,596","±8,558","58.6%","±0.6","252,049","±4,317","57.5%","±1.0","40,050","±2,412","12.5%","±0.8","5,176,260","±25,423","54.2%","±0.3","2,868,497","±16,843","66.3%","±0.4","288,575","±4,525","52.8%","±0.8","532,952","±6,359","72.4%","±0.9","3,139,808","±14,759","58.4%","±0.3","2,101,210","±10,836","72.4%","±0.4","1,029,655","±7,567","73.0%","±0.5","931,250","±7,370","72.7%","±0.6","1,347,492","±11,371","67.5%","±0.6","1,362,202","±10,801","65.6%","±0.5","515,495","±6,101","69.0%","±0.8","1,257,981","±9,898","51.2%","±0.4","1,499,164","±10,334","51.4%","±0.4","3,312,713","±12,616","71.8%","±0.3","1,634,981","±8,589","66.6%","±0.3","914,062","±9,246","68.6%","±0.7","1,958,515","±10,999","69.8%","±0.4","357,557","±4,174","69.4%","±0.8","607,992","±5,093","72.0%","±0.6","756,031","±7,497","59.6%","±0.6","403,645","±5,761","63.3%","±0.9","1,939,149","±14,272","53.4%","±0.4","604,140","±8,134","64.0%","±0.9","3,492,617","±14,584","41.8%","±0.2","3,042,712","±18,426","64.9%","±0.4","216,035","±4,477","57.2%","±1.2","3,569,255","±16,538","68.4%","±0.3","1,271,746","±7,310","73.0%","±0.4","1,128,451","±8,470","63.1%","±0.5","3,253,824","±16,408","57.0%","±0.3","259,639","±4,761","55.3%","±1.0","1,461,576","±12,336","63.0%","±0.5","268,118","±4,580","67.5%","±1.2","2,038,944","±12,246","68.1%","±0.4","7,203,628","±25,564","64.9%","±0.2","753,337","±7,902","67.9%","±0.7","225,886","±4,231","67.0%","±1.3","2,161,105","±13,317","61.1%","±0.4","1,981,330","±11,760","62.9%","±0.4","633,400","±7,783","70.9%","±0.9","1,804,076","±10,612","66.6%","±0.4","183,007","±4,296","65.7%","±1.5","1,071,943","±8,632","69.0%","±0.5"
"        1-unit, attached","35,014","±2,913","1.5%","±0.1","23,184","±2,523","7.3%","±0.8","138,677","±4,655","4.6%","±0.2","23,840","±2,230","1.7%","±0.2","1,014,941","±14,602","7.1%","±0.1","169,278","±6,125","7.0%","±0.3","81,320","±4,404","5.3%","±0.3","74,414","±3,555","17.0%","±0.8","72,989","±3,219","22.8%","±1.0","578,839","±13,165","6.1%","±0.1","166,456","±7,619","3.8%","±0.2","50,280","±3,307","9.2%","±0.6","24,127","±2,332","3.3%","±0.3","310,106","±7,661","5.8%","±0.1","108,916","±5,531","3.8%","±0.2","60,186","±3,981","4.3%","±0.3","56,092","±3,693","4.4%","±0.3","52,109","±3,556","2.6%","±0.2","57,015","±3,709","2.7%","±0.2","15,915","±1,907","2.1%","±0.3","517,969","±10,137","21.1%","±0.4","160,371","±5,788","5.5%","±0.2","207,484","±6,197","4.5%","±0.1","178,329","±5,665","7.3%","±0.2","16,272","±2,529","1.2%","±0.2","101,246","±4,789","3.6%","±0.2","20,255","±1,719","3.9%","±0.3","35,071","±2,693","4.2%","±0.3","57,457","±3,626","4.5%","±0.3","33,543","±2,376","5.3%","±0.4","349,571","±9,461","9.6%","±0.3","29,690","±2,355","3.1%","±0.2","420,883","±8,694","5.0%","±0.1","200,754","±7,279","4.3%","±0.2","21,046","±2,322","5.6%","±0.6","241,553","±6,516","4.6%","±0.1","33,720","±2,351","1.9%","±0.1","77,192","±3,845","4.3%","±0.2","1,062,639","±13,361","18.6%","±0.2","15,483","±1,633","3.3%","±0.3","72,604","±4,600","3.1%","±0.2","14,848","±1,734","3.7%","±0.4","99,893","±5,718","3.3%","±0.2","281,543","±9,259","2.5%","±0.1","72,434","±3,817","6.5%","±0.3","14,799","±1,849","4.4%","±0.5","386,634","±8,949","10.9%","±0.3","125,282","±5,780","4.0%","±0.2","18,855","±1,958","2.1%","±0.2","111,506","±4,411","4.1%","±0.2","12,357","±1,856","4.4%","±0.7","183,062","±5,595","11.8%","±0.3"
