"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alabama!!Percent","Alabama!!Percent Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Alaska!!Percent","Alaska!!Percent Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arizona!!Percent","Arizona!!Percent Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","Arkansas!!Percent","Arkansas!!Percent Margin of Error","California!!Estimate","California!!Margin of Error","California!!Percent","California!!Percent Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Colorado!!Percent","Colorado!!Percent Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Connecticut!!Percent","Connecticut!!Percent Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","Delaware!!Percent","Delaware!!Percent Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","District of Columbia!!Percent","District of Columbia!!Percent Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Florida!!Percent","Florida!!Percent Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Georgia!!Percent","Georgia!!Percent Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Hawaii!!Percent","Hawaii!!Percent Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Idaho!!Percent","Idaho!!Percent Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Illinois!!Percent","Illinois!!Percent Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Indiana!!Percent","Indiana!!Percent Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Iowa!!Percent","Iowa!!Percent Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kansas!!Percent","Kansas!!Percent Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Kentucky!!Percent","Kentucky!!Percent Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Louisiana!!Percent","Louisiana!!Percent Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maine!!Percent","Maine!!Percent Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Maryland!!Percent","Maryland!!Percent Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Michigan!!Percent","Michigan!!Percent Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Minnesota!!Percent","Minnesota!!Percent Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Mississippi!!Percent","Mississippi!!Percent Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Missouri!!Percent","Missouri!!Percent Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Montana!!Percent","Montana!!Percent Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nebraska!!Percent","Nebraska!!Percent Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","Nevada!!Percent","Nevada!!Percent Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Hampshire!!Percent","New Hampshire!!Percent Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Jersey!!Percent","New Jersey!!Percent Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New Mexico!!Percent","New Mexico!!Percent Margin of Error","New York!!Estimate","New York!!Margin of Error","New York!!Percent","New York!!Percent Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Carolina!!Percent","North Carolina!!Percent Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","North Dakota!!Percent","North Dakota!!Percent Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Ohio!!Percent","Ohio!!Percent Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oklahoma!!Percent","Oklahoma!!Percent Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Oregon!!Percent","Oregon!!Percent Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Pennsylvania!!Percent","Pennsylvania!!Percent Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","Rhode Island!!Percent","Rhode Island!!Percent Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Carolina!!Percent","South Carolina!!Percent Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","South Dakota!!Percent","South Dakota!!Percent Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Tennessee!!Percent","Tennessee!!Percent Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Utah!!Percent","Utah!!Percent Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Vermont!!Percent","Vermont!!Percent Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Virginia!!Percent","Virginia!!Percent Margin of Error","Washington!!Estimate","Washington!!Margin of Error","Washington!!Percent","Washington!!Percent Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","West Virginia!!Percent","West Virginia!!Percent Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wisconsin!!Percent","Wisconsin!!Percent Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Wyoming!!Percent","Wyoming!!Percent Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error","Puerto Rico!!Percent","Puerto Rico!!Percent Margin of Error"
"        Built 1940 to 1949","95,099","±4,578","4.3%","±0.2","4,381","±839","1.4%","±0.3","44,330","±3,140","1.5%","±0.1","51,531","±3,556","3.8%","±0.3","855,734","±14,681","6.1%","±0.1","62,947","±3,924","2.7%","±0.2","107,669","±5,339","7.2%","±0.4","20,920","±2,020","4.9%","±0.5","43,399","±3,391","13.8%","±1.1","194,185","±7,551","2.1%","±0.1","116,642","±5,487","2.8%","±0.1","18,708","±2,028","3.5%","±0.4","29,119","±2,355","4.2%","±0.3","333,580","±6,867","6.3%","±0.1","166,571","±6,350","5.8%","±0.2","71,069","±3,217","5.1%","±0.2","71,883","±3,891","5.7%","±0.3","84,984","±4,287","4.3%","±0.2","83,050","±4,349","4.1%","±0.2","32,809","±2,652","4.5%","±0.4","127,816","±5,682","5.2%","±0.2","160,122","±6,277","5.6%","±0.2","347,721","±7,661","7.6%","±0.2","109,029","±3,647","4.5%","±0.2","46,928","±3,082","3.6%","±0.2","136,615","±5,645","4.9%","±0.2","25,184","±2,589","5.1%","±0.5","41,474","±2,854","5.0%","±0.3","12,446","±1,610","1.0%","±0.1","21,894","±2,165","3.5%","±0.3","268,580","±7,392","7.5%","±0.2","35,336","±3,201","3.9%","±0.3","685,689","±13,524","8.3%","±0.2","163,789","±6,813","3.6%","±0.2","18,336","±1,629","5.0%","±0.4","326,541","±7,873","6.3%","±0.2","93,586","±4,145","5.4%","±0.2","91,020","±4,234","5.3%","±0.2","420,605","±9,546","7.5%","±0.2","34,218","±2,770","7.4%","±0.6","70,138","±4,143","3.1%","±0.2","16,243","±1,684","4.2%","±0.4","138,201","±5,433","4.7%","±0.2","386,705","±9,866","3.6%","±0.1","37,163","±2,815","3.5%","±0.3","10,022","±1,016","3.0%","±0.3","151,938","±5,876","4.4%","±0.2","151,699","±5,055","5.0%","±0.2","65,700","±3,895","7.4%","±0.4","148,264","±5,267","5.6%","±0.2","11,988","±1,569","4.4%","±0.6","51,870","±2,917","3.3%","±0.2"
"        Built 1939 or earlier","115,519","±5,257","5.2%","±0.2","4,407","±773","1.4%","±0.2","47,725","±3,185","1.6%","±0.1","69,215","±4,036","5.1%","±0.3","1,282,072","±16,111","9.1%","±0.1","185,862","±5,717","7.9%","±0.2","336,476","±8,606","22.4%","±0.6","32,408","±2,399","7.6%","±0.6","104,659","±3,382","33.4%","±1.1","199,732","±7,374","2.1%","±0.1","181,678","±6,304","4.3%","±0.1","20,782","±2,224","3.9%","±0.4","57,224","±3,123","8.2%","±0.4","1,144,123","±12,125","21.5%","±0.2","495,818","±9,702","17.4%","±0.3","354,263","±6,369","25.7%","±0.5","207,282","±4,980","16.5%","±0.4","193,289","±6,255","9.8%","±0.3","143,707","±4,146","7.1%","±0.2","170,563","±4,719","23.3%","±0.6","296,217","±5,936","12.1%","±0.2","951,379","±10,724","33.3%","±0.4","666,185","±11,042","14.6%","±0.2","392,968","±6,367","16.3%","±0.3","58,211","±4,464","4.5%","±0.3","397,209","±8,085","14.4%","±0.3","72,064","±3,026","14.5%","±0.6","175,074","±5,032","21.2%","±0.6","14,452","±1,728","1.2%","±0.1","129,249","±4,778","20.7%","±0.8","661,286","±10,388","18.3%","±0.3","39,572","±2,931","4.3%","±0.3","2,678,317","±17,167","32.5%","±0.2","236,913","±7,673","5.2%","±0.2","49,736","±2,745","13.5%","±0.7","1,061,348","±13,741","20.6%","±0.3","135,063","±4,026","7.8%","±0.2","198,683","±6,114","11.5%","±0.4","1,473,069","±14,904","26.2%","±0.3","141,202","±4,955","30.5%","±1.1","90,836","±5,194","4.1%","±0.2","68,812","±3,050","17.9%","±0.8","176,830","±5,110","6.1%","±0.2","392,088","±10,104","3.6%","±0.1","76,235","±3,593","7.2%","±0.3","79,769","±3,084","24.2%","±0.9","265,865","±6,665","7.6%","±0.2","317,658","±8,202","10.5%","±0.3","144,058","±4,599","16.2%","±0.5","513,749","±8,283","19.3%","±0.3","30,139","±2,391","11.1%","±0.9","30,493","±2,470","2.0%","±0.2"
"ROOMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","2,230,180","±397","2,230,180","(X)","310,672","±143","310,672","(X)","2,961,136","±361","2,961,136","(X)","1,354,801","±173","1,354,801","(X)","14,061,375","±838","14,061,375","(X)","2,339,140","±478","2,339,140","(X)","1,499,145","±419","1,499,145","(X)","426,154","±87","426,154","(X)","313,703","±112","313,703","(X)","9,302,140","±467","9,302,140","(X)","4,219,103","±579","4,219,103","(X)","537,170","±125","537,170","(X)","700,829","±163","700,829","(X)","5,327,165","±359","5,327,165","(X)","2,854,595","±440","2,854,595","(X)","1,380,087","±310","1,380,087","(X)","1,259,870","±209","1,259,870","(X)","1,965,577","±264","1,965,577","(X)","2,037,067","±323","2,037,067","(X)","730,786","±232","730,786","(X)","2,447,211","±257","2,447,211","(X)","2,858,087","±339","2,858,087","(X)","4,560,164","±487","4,560,164","(X)","2,409,701","±814","2,409,701","(X)","1,307,492","±165","1,307,492","(X)","2,760,226","±407","2,760,226","(X)","497,749","±127","497,749","(X)","827,191","±244","827,191","(X)","1,221,759","±142","1,221,759","(X)","625,337","±147","625,337","(X)","3,604,688","±395","3,604,688","(X)","917,641","±184","917,641","(X)","8,232,039","±1,017","8,232,039","(X)","4,540,697","±422","4,540,697","(X)","368,545","±285","368,545","(X)","5,164,400","±423","5,164,400","(X)","1,721,072","±268","1,721,072","(X)","1,732,887","±235","1,732,887","(X)","5,611,995","±854","5,611,995","(X)","462,598","±288","462,598","(X)","2,236,262","±246","2,236,262","(X)","383,827","±214","383,827","(X)","2,919,698","±359","2,919,698","(X)","10,754,268","±644","10,754,268","(X)","1,054,242","±147","1,054,242","(X)","329,539","±103","329,539","(X)","3,491,185","±609","3,491,185","(X)","3,025,802","±1,111","3,025,802","(X)","886,710","±427","886,710","(X)","2,668,443","±615","2,668,443","(X)","270,625","±109","270,625","(X)","1,555,880","±8,239","1,555,880","(X)"
"        1 room","26,657","±2,926","1.2%","±0.1","18,953","±1,684","6.1%","±0.5","78,250","±4,867","2.6%","±0.2","32,375","±3,231","2.4%","±0.2","548,104","±11,059","3.9%","±0.1","50,461","±3,625","2.2%","±0.2","32,415","±3,424","2.2%","±0.2","4,272","±1,050","1.0%","±0.2","24,628","±2,583","7.9%","±0.8","192,640","±7,095","2.1%","±0.1","61,278","±3,774","1.5%","±0.1","28,788","±2,658","5.4%","±0.5","17,069","±2,402","2.4%","±0.3","149,715","±7,395","2.8%","±0.1","39,766","±3,530","1.4%","±0.1","17,812","±2,038","1.3%","±0.1","25,090","±2,662","2.0%","±0.2","28,624","±2,977","1.5%","±0.2","29,789","±2,582","1.5%","±0.1","20,179","±1,838","2.8%","±0.3","41,194","±3,553","1.7%","±0.1","73,657","±4,970","2.6%","±0.2","70,324","±4,261","1.5%","±0.1","47,610","±3,374","2.0%","±0.1","18,839","±2,625","1.4%","±0.2","42,185","±3,613","1.5%","±0.1","16,182","±2,168","3.3%","±0.4","12,775","±1,629","1.5%","±0.2","40,897","±3,018","3.3%","±0.2","12,173","±2,233","1.9%","±0.4","88,493","±5,300","2.5%","±0.1","26,077","±2,546","2.8%","±0.3","358,834","±11,235","4.4%","±0.1","72,008","±4,774","1.6%","±0.1","8,316","±1,578","2.3%","±0.4","75,452","±4,460","1.5%","±0.1","34,290","±2,781","2.0%","±0.2","50,175","±4,145","2.9%","±0.2","116,015","±5,450","2.1%","±0.1","13,042","±2,234","2.8%","±0.5","29,129","±3,097","1.3%","±0.1","7,988","±1,572","2.1%","±0.4","44,940","±4,107","1.5%","±0.1","224,355","±8,379","2.1%","±0.1","17,059","±2,041","1.6%","±0.2","13,447","±1,664","4.1%","±0.5","57,285","±4,065","1.6%","±0.1","93,041","±4,755","3.1%","±0.2","20,432","±2,287","2.3%","±0.3","52,228","±4,152","2.0%","±0.2","5,253","±1,407","1.9%","±0.5","29,304","±2,385","1.9%","±0.2"
"        2 rooms","27,048","±2,797","1.2%","±0.1","21,855","±1,578","7.0%","±0.5","112,746","±5,307","3.8%","±0.2","24,742","±2,958","1.8%","±0.2","577,457","±11,286","4.1%","±0.1","87,355","±5,116","3.7%","±0.2","41,460","±3,517","2.8%","±0.2","4,056","±973","1.0%","±0.2","31,038","±2,477","9.9%","±0.8","213,063","±7,668","2.3%","±0.1","61,349","±4,189","1.5%","±0.1","45,806","±3,433","8.5%","±0.6","15,170","±2,029","2.2%","±0.3","121,604","±5,472","2.3%","±0.1","42,800","±3,596","1.5%","±0.1","29,560","±2,727","2.1%","±0.2","25,157","±2,564","2.0%","±0.2","33,127","±2,979","1.7%","±0.2","42,632","±3,887","2.1%","±0.2","27,218","±2,058","3.7%","±0.3","47,154","±3,928","1.9%","±0.2","92,265","±4,581","3.2%","±0.2","89,589","±4,051","2.0%","±0.1","70,907","±3,724","2.9%","±0.2","21,745","±2,335","1.7%","±0.2","57,676","±3,807","2.1%","±0.1","16,423","±1,816","3.3%","±0.4","21,137","±2,005","2.6%","±0.2","42,813","±3,308","3.5%","±0.3","19,668","±2,371","3.1%","±0.4","80,584","±4,843","2.2%","±0.1","22,731","±2,455","2.5%","±0.3","300,858","±8,475","3.7%","±0.1","76,030","±4,499","1.7%","±0.1","12,927","±1,928","3.5%","±0.5","86,683","±5,303","1.7%","±0.1","34,414","±2,589","2.0%","±0.2","70,321","±4,852","4.1%","±0.3","123,190","±5,581","2.2%","±0.1","15,073","±2,053","3.3%","±0.4","32,587","±2,674","1.5%","±0.1","9,721","±1,758","2.5%","±0.5","46,035","±3,657","1.6%","±0.1","331,049","±9,582","3.1%","±0.1","22,489","±2,203","2.1%","±0.2","10,820","±1,597","3.3%","±0.5","66,003","±3,940","1.9%","±0.1","111,411","±4,992","3.7%","±0.2","13,141","±1,863","1.5%","±0.2","65,793","±4,153","2.5%","±0.2","4,827","±1,182","1.8%","±0.4","50,511","±3,319","3.2%","±0.2"
"        3 rooms","131,537","±5,556","5.9%","±0.2","39,021","±2,794","12.6%","±0.9","298,527","±8,163","10.1%","±0.3","95,797","±4,730","7.1%","±0.3","1,657,628","±19,627","11.8%","±0.1","232,680","±8,020","9.9%","±0.3","138,203","±5,753","9.2%","±0.4","22,112","±2,554","5.2%","±0.6","62,980","±3,601","20.1%","±1.1","927,768","±15,008","10.0%","±0.2","258,055","±9,277","6.1%","±0.2","77,220","±4,575","14.4%","±0.9","39,982","±3,302","5.7%","±0.5","442,292","±11,942","8.3%","±0.2","179,617","±6,467","6.3%","±0.2","101,576","±5,113","7.4%","±0.4","88,438","±5,118","7.0%","±0.4","132,757","±5,979","6.8%","±0.3","158,894","±6,148","7.8%","±0.3","71,655","±3,649","9.8%","±0.5","182,020","±5,601","7.4%","±0.2","285,861","±8,240","10.0%","±0.3","342,330","±7,721","7.5%","±0.2","215,863","±6,062","9.0%","±0.3","80,134","±4,874","6.1%","±0.4","205,443","±7,113","7.4%","±0.3","47,673","±3,572","9.6%","±0.7","65,496","±3,732","7.9%","±0.5","131,200","±5,396","10.7%","±0.4","53,882","±3,514","8.6%","±0.6","366,816","±9,991","10.2%","±0.3","71,420","±4,249","7.8%","±0.5","1,237,961","±17,014","15.0%","±0.2","313,289","±8,185","6.9%","±0.2","36,478","±3,565","9.9%","±1.0","351,892","±9,358","6.8%","±0.2","122,079","±4,940","7.1%","±0.3","151,076","±6,477","8.7%","±0.4","401,384","±9,391","7.2%","±0.2","50,521","±3,522","10.9%","±0.8","124,250","±6,606","5.6%","±0.3","34,278","±2,647","8.9%","±0.7","186,340","±7,995","6.4%","±0.3","1,140,603","±18,722","10.6%","±0.2","68,161","±3,969","6.5%","±0.4","28,847","±1,981","8.8%","±0.6","241,604","±7,676","6.9%","±0.2","291,825","±10,556","9.6%","±0.3","48,943","±3,410","5.5%","±0.4","230,137","±6,826","8.6%","±0.3","19,914","±2,476","7.4%","±0.9","140,743","±6,301","9.0%","±0.4"
"        4 rooms","321,706","±8,790","14.4%","±0.4","62,204","±3,446","20.0%","±1.1","512,671","±10,267","17.3%","±0.3","226,115","±7,638","16.7%","±0.6","2,725,838","±25,866","19.4%","±0.2","358,349","±8,204","15.3%","±0.4","244,364","±7,951","16.3%","±0.5","54,085","±3,768","12.7%","±0.9","60,284","±4,028","19.2%","±1.3","2,025,430","±24,254","21.8%","±0.3","598,110","±10,859","14.2%","±0.3","104,577","±4,619","19.5%","±0.9","107,728","±4,761","15.4%","±0.7","842,573","±12,655","15.8%","±0.2","416,921","±11,248","14.6%","±0.4","208,633","±6,425","15.1%","±0.5","181,579","±6,691","14.4%","±0.5","331,242","±8,745","16.9%","±0.4","350,880","±9,074","17.2%","±0.4","133,497","±4,213","18.3%","±0.6","315,861","±8,943","12.9%","±0.4","452,638","±9,242","15.8%","±0.3","627,241","±10,244","13.8%","±0.2","339,609","±7,362","14.1%","±0.3","209,459","±7,439","16.0%","±0.6","428,705","±9,357","15.5%","±0.3","85,088","±4,028","17.1%","±0.8","120,387","±5,022","14.6%","±0.6","218,484","±6,069","17.9%","±0.5","104,738","±5,304","16.7%","±0.8","555,962","±12,705","15.4%","±0.4","163,066","±5,755","17.8%","±0.6","1,543,935","±20,845","18.8%","±0.3","778,074","±14,725","17.1%","±0.3","61,468","±3,678","16.7%","±1.0","694,387","±11,541","13.4%","±0.2","278,687","±6,782","16.2%","±0.4","295,956","±7,305","17.1%","±0.4","697,245","±11,246","12.4%","±0.2","79,737","±4,709","17.2%","±1.0","368,169","±9,727","16.5%","±0.4","57,500","±3,084","15.0%","±0.8","477,025","±11,771","16.3%","±0.4","1,787,470","±24,422","16.6%","±0.2","143,440","±5,764","13.6%","±0.5","51,988","±2,862","15.8%","±0.9","492,783","±13,424","14.1%","±0.4","486,008","±9,200","16.1%","±0.3","134,418","±5,137","15.2%","±0.6","436,572","±9,499","16.4%","±0.4","48,582","±3,155","18.0%","±1.2","390,943","±7,521","25.1%","±0.5"
"        5 rooms","518,806","±12,589","23.3%","±0.6","52,375","±3,107","16.9%","±1.0","632,037","±11,000","21.3%","±0.4","335,672","±7,622","24.8%","±0.6","2,788,506","±20,870","19.8%","±0.1","372,794","±8,879","15.9%","±0.4","266,664","±7,475","17.8%","±0.5","68,832","±3,594","16.2%","±0.8","36,355","±2,908","11.6%","±0.9","2,132,159","±22,958","22.9%","±0.2","870,652","±16,859","20.6%","±0.4","111,339","±4,842","20.7%","±0.9","144,427","±6,595","20.6%","±0.9","1,052,607","±14,496","19.8%","±0.3","593,623","±12,276","20.8%","±0.4","240,151","±6,583","17.4%","±0.5","231,047","±6,533","18.3%","±0.5","438,938","±9,778","22.3%","±0.5","526,761","±10,357","25.9%","±0.5","141,217","±4,513","19.3%","±0.6","347,834","±8,740","14.2%","±0.4","517,915","±9,677","18.1%","±0.3","933,758","±10,059","20.5%","±0.2","350,958","±6,750","14.6%","±0.3","334,275","±8,870","25.6%","±0.7","590,098","±12,026","21.4%","±0.4","94,004","±3,633","18.9%","±0.7","136,875","±4,499","16.5%","±0.5","256,289","±6,559","21.0%","±0.5","111,039","±5,400","17.8%","±0.9","610,323","±9,817","16.9%","±0.3","228,471","±6,444","24.9%","±0.7","1,357,128","±16,765","16.5%","±0.2","1,049,774","±16,049","23.1%","±0.4","58,938","±4,193","16.0%","±1.1","1,000,585","±13,025","19.4%","±0.3","439,860","±7,591","25.6%","±0.4","338,755","±7,988","19.5%","±0.5","903,783","±12,935","16.1%","±0.2","98,698","±5,229","21.3%","±1.1","523,742","±11,870","23.4%","±0.5","66,457","±3,122","17.3%","±0.8","630,775","±11,809","21.6%","±0.4","2,263,312","±22,381","21.0%","±0.2","156,609","±5,587","14.9%","±0.5","57,486","±2,763","17.4%","±0.8","601,444","±10,516","17.2%","±0.3","513,193","±11,151","17.0%","±0.4","193,025","±5,755","21.8%","±0.6","538,042","±9,254","20.2%","±0.3","46,496","±2,823","17.2%","±1.0","579,976","±8,588","37.3%","±0.6"
"        6 rooms","464,650","±11,205","20.8%","±0.5","44,242","±3,184","14.2%","±1.0","551,055","±9,391","18.6%","±0.3","278,060","±7,303","20.5%","±0.5","2,382,115","±22,062","16.9%","±0.2","343,597","±8,487","14.7%","±0.4","261,795","±7,237","17.5%","±0.5","80,388","±4,000","18.9%","±0.9","29,981","±2,441","9.6%","±0.8","1,667,660","±20,928","17.9%","±0.2","801,258","±12,253","19.0%","±0.3","72,782","±3,737","13.5%","±0.7","119,628","±4,471","17.1%","±0.6","938,987","±13,223","17.6%","±0.2","560,237","±9,777","19.6%","±0.3","235,762","±6,653","17.1%","±0.5","217,788","±5,161","17.3%","±0.4","379,171","±8,448","19.3%","±0.4","396,657","±8,936","19.5%","±0.4","128,317","±4,562","17.6%","±0.6","410,379","±8,560","16.8%","±0.3","497,031","±9,931","17.4%","±0.3","898,631","±11,042","19.7%","±0.2","357,594","±7,681","14.8%","±0.3","267,510","±8,502","20.5%","±0.7","522,608","±10,857","18.9%","±0.4","72,961","±3,452","14.7%","±0.7","127,776","±4,745","15.4%","±0.6","221,141","±7,202","18.1%","±0.6","106,725","±5,232","17.1%","±0.8","574,384","±10,972","15.9%","±0.3","182,224","±6,105","19.9%","±0.7","1,213,558","±14,704","14.7%","±0.2","845,343","±12,722","18.6%","±0.3","49,877","±3,209","13.5%","±0.9","1,033,488","±15,057","20.0%","±0.3","348,061","±6,520","20.2%","±0.4","300,749","±8,031","17.4%","±0.5","1,187,376","±14,507","21.2%","±0.3","84,063","±4,133","18.2%","±0.9","434,787","±9,207","19.4%","±0.4","58,015","±2,718","15.1%","±0.7","572,458","±11,683","19.6%","±0.4","1,940,312","±22,941","18.0%","±0.2","134,557","±5,369","12.8%","±0.5","59,837","±2,602","18.2%","±0.8","577,456","±12,953","16.5%","±0.4","485,532","±9,259","16.0%","±0.3","181,679","±6,455","20.5%","±0.7","462,292","±7,462","17.3%","±0.3","47,887","±2,866","17.7%","±1.1","240,078","±7,371","15.4%","±0.4"
"        7 rooms","297,851","±7,679","13.4%","±0.3","28,651","±2,332","9.2%","±0.8","346,486","±9,114","11.7%","±0.3","161,884","±5,820","11.9%","±0.4","1,484,907","±18,692","10.6%","±0.1","256,842","±7,871","11.0%","±0.3","194,480","±5,579","13.0%","±0.4","76,504","±3,518","18.0%","±0.8","22,358","±2,071","7.1%","±0.7","978,512","±14,311","10.5%","±0.2","551,998","±12,018","13.1%","±0.3","39,713","±2,465","7.4%","±0.5","79,398","±4,354","11.3%","±0.6","642,796","±10,518","12.1%","±0.2","383,621","±9,943","13.4%","±0.3","180,264","±5,595","13.1%","±0.4","173,093","±5,720","13.7%","±0.5","237,116","±6,560","12.1%","±0.3","230,037","±6,670","11.3%","±0.3","84,800","±3,574","11.6%","±0.5","333,828","±8,093","13.6%","±0.3","347,495","±8,035","12.2%","±0.3","593,369","±8,911","13.0%","±0.2","310,247","±6,306","12.9%","±0.3","166,303","±5,711","12.7%","±0.4","335,348","±8,067","12.1%","±0.3","53,470","±3,013","10.7%","±0.6","106,968","±4,335","12.9%","±0.5","137,192","±5,698","11.2%","±0.5","82,978","±4,148","13.3%","±0.7","449,536","±10,152","12.5%","±0.3","105,865","±4,570","11.5%","±0.5","836,011","±12,529","10.2%","±0.2","549,286","±11,277","12.1%","±0.2","41,510","±2,606","11.3%","±0.7","727,149","±10,827","14.1%","±0.2","208,822","±4,259","12.1%","±0.2","201,890","±7,000","11.7%","±0.4","818,304","±11,956","14.6%","±0.2","50,531","±3,766","10.9%","±0.8","284,856","±8,150","12.7%","±0.4","44,546","±3,032","11.6%","±0.8","373,741","±9,035","12.8%","±0.3","1,234,667","±18,113","11.5%","±0.2","125,534","±4,797","11.9%","±0.5","39,295","±2,464","11.9%","±0.7","445,949","±9,458","12.8%","±0.3","370,302","±7,918","12.2%","±0.3","124,089","±5,107","14.0%","±0.6","325,557","±6,729","12.2%","±0.3","32,900","±2,433","12.2%","±0.9","68,128","±3,975","4.4%","±0.3"
"        8 rooms","200,341","±6,114","9.0%","±0.3","19,897","±2,110","6.4%","±0.7","219,303","±7,539","7.4%","±0.3","92,826","±4,025","6.9%","±0.3","965,495","±14,865","6.9%","±0.1","235,640","±6,474","10.1%","±0.3","142,007","±5,185","9.5%","±0.3","52,789","±2,777","12.4%","±0.7","17,221","±1,844","5.5%","±0.6","605,036","±12,349","6.5%","±0.1","411,894","±9,741","9.8%","±0.2","27,885","±2,120","5.2%","±0.4","69,111","±4,129","9.9%","±0.6","488,123","±9,899","9.2%","±0.2","267,155","±7,107","9.4%","±0.2","148,746","±4,277","10.8%","±0.3","130,003","±5,367","10.3%","±0.4","164,617","±6,511","8.4%","±0.3","152,474","±5,717","7.5%","±0.3","57,460","±3,202","7.9%","±0.4","279,693","±7,424","11.4%","±0.3","260,247","±7,512","9.1%","±0.3","428,836","±8,175","9.4%","±0.2","262,746","±6,054","10.9%","±0.3","101,748","±5,645","7.8%","±0.4","243,277","±6,849","8.8%","±0.2","42,137","±2,936","8.5%","±0.6","87,084","±3,528","10.5%","±0.4","87,204","±4,547","7.1%","±0.4","61,152","±3,783","9.8%","±0.6","369,750","±8,866","10.3%","±0.2","59,465","±3,254","6.5%","±0.4","609,836","±10,822","7.4%","±0.1","367,011","±9,137","8.1%","±0.2","32,452","±2,082","8.8%","±0.6","518,477","±7,349","10.0%","±0.1","121,013","±4,679","7.0%","±0.3","139,620","±5,190","8.1%","±0.3","598,951","±7,332","10.7%","±0.1","32,191","±2,966","7.0%","±0.6","202,644","±7,295","9.1%","±0.3","41,918","±2,471","10.9%","±0.6","249,856","±8,002","8.6%","±0.3","816,515","±14,600","7.6%","±0.1","129,353","±5,566","12.3%","±0.5","30,199","±2,104","9.2%","±0.6","387,811","±9,055","11.1%","±0.3","283,798","±8,145","9.4%","±0.3","80,178","±3,337","9.0%","±0.4","236,185","±5,414","8.9%","±0.2","23,617","±2,154","8.7%","±0.8","34,749","±2,529","2.2%","±0.2"
